who,much,date,what
pld,500,2016-09-01,rent
pld,69.53,2016-09-20,grocery
pld,42.49,2016-10-01,engie
pld,51.95,2016-10-05,grocery
pld,10,2016-10-05,grocery
pld,500,2016-10-05,rent
val,78,2016-10-15,grocery
val,9,2016-10-15,grocery
val,35,2016-10-15,grocery
val,52.83,2016-10-15,grocery
val,24.31,2016-10-15,grocery
val,10.04,2016-10-15,grocery
pld,71.16,2016-10-12,grocery
val,500,2016-10-12,nickel
val,4.68,2016-10-15,grocery
val,20.08,2016-10-15,grocery
pld,20,2016-11-11,grocery
val,8,2016-10-14,grocery
val,3.90,2016-10-31,grocery
val,300,2016-11-06,nickel
val,243,2016-11-07,nickel
pld,300,2016-11-07,nickel
pld,5.50,2016-11-09,grocery
pld,13.24,2016-11-14,grocery
pld,9.77,2016-11-22,grocery
pld,10.30,2016-11-28,grocery
pld,200,2016-12-05,nickel
val,120,2016-12-05,nickel
val,-90,2016-11-01,withdrawal
val,-7,2016-11-01,free-penality
val,-20,2016-11-01,urban-laser
val,-21,2016-11-01,withdrawal
val,-2.29,2016-12-01,free
val,-2,2016-10-01,free
val,130,2016-12-07,nickel
pld,8.78,2016-12-08,grocery
pld,11.32,2016-12-15,grocery
val,7,2017-01-02,grocery
val,-25.5,2016-12-30,holidays
pld,300,2017-01-03,rent
pld,7.89,2017-01-04,grocery
pld,9.52,2017-01-04,grocery
val,345,2017-01-09,nickel
pld,6.69,2017-01-18,grocery
pld,6.45,2017-01-25,grocery
val,3.30,2017-01-10,bread
pld,200,2017-01-11,nickel
val,3.30,2017-01-12,bread
val,2.45,2017-01-17,bread
val,2.20,2017-01-18,bread
val,35.30,2017-01-24,bread
val,-5.50,2017-02-05,train
pld,200,2017-02-06,nickel
val,13.13,2017-02-06,grocery
pld,8.54,2017-02-06,grocery
pld,6.76,2017-02-06,grocery
pld,6.45,2017-02-06,grocery
val,236,2017-02-07,nickel
pld,3.30,2017-02-07,bread
pld,66.38,2017-02-09,grocery
pld,1.71,2017-02-09,grocery
pld,1.10,2017-02-09,bread
pld,280,2017-02-10,nickel
val,92,2016-10-05,caf
val,-92,2016-10-05,rent-refund
val,92,2016-11-04,caf
val,180,2016-11-08,caf
val,182,2016-12-05,caf
val,182,2017-01-05,caf
val,182,2017-02-06,caf
pld,8.07,2017-02-16,grocery
val,5.46,2017-02-16,grocery
val,3.30,2017-02-16,bread
val,3.30,2017-02-20,bread
pld,2.29,2017-02-23,grocery
pld,100,2017-03-04,nickel
val,321,2017-03-06,nickel
pld,13.13,2017-03-08,grocery
pld,4.99,2017-03-08,grocery
val,-12.35,2017-03-01,free
val,182,2017-03-05,caf
pld,12.99,2017-03-13,grocery
pld,1.99,2017-03-13,grocery
pld,7.92,2017-03-13,grocery
val,80,2017-03-16,grocery
pld,80,2017-03-16,cash
pld,250,2017-03-19,nickel
pld,3.83,2017-03-30,grocery
pld,7.98,2017-03-30,grocery
val,-8.13,2017-03-29,free
val,326,2017-04-04,nickel
pld,13.99,2017-04-04,grocery
pld,1.79,2017-04-04,grocery
pld,9.43,2017-04-04,grocery
pld,250,2017-04-05,rent
val,182,2017-04-05,caf
pld,250,2017-04-05,nickel
pld,2.50,2017-04-07,grocery
pld,3.68,2017-04-07,grocery
val,39.72,2017-04-13,grocery
pld,2.49,2017-04-13,grocery
pld,1.99,2017-04-13,grocery
pld,2.15,2017-04-13,bread
pld,9.48,2017-04-26,grocery
pld,4.17,2017-04-27,grocery
pld,2.70,2017-04-20,bread
pld,1.50,2017-04-26,grocery
pld,4.28,2017-05-18,grocery
pld,2.05,2017-05-18,grocery
pld,318,2017-05-05,rent
pld,182,2017-05-05,nickel
val,182,2017-05-05,caf
val,200,2017-05-05,nickel
